Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
83458,hyundai,Hyundai i20,green,03/2023,2023,22790,88,120,Manual,Petrol,"5,6 l/100 km",124 g/km,1500.0,Trend*LichtP*AssistP*KomfP*DachLack*17ZollFe
109713,mercedes-benz,Mercedes-Benz E 200,black,03/2010,2010,16499,135,184,Automatic,Petrol,"7,4 l/100 km",- (g/km),97636.0,E 200 CGI Coupe BlueEFFICIENCY Automatik Avantgard
109355,mercedes-benz,Mercedes-Benz E 220,grey,12/2010,2010,8200,125,170,Manual,Diesel,5 l/100 km,- (g/km),293000.0,CDI DPF BlueEFFICIENCY
210432,toyota,Toyota Aygo,blue,06/2022,2022,69290,53,72,Manual,Petrol,5 l/100 km,114 g/km,10.0,X Explore
108628,mercedes-benz,Mercedes-Benz C 200,black,04/2009,2009,5700,100,136,Manual,Diesel,"6,1 l/100 km",154 g/km,207643.0,C-Klasse T-Modell C 200 T CDI
59514,ford,Ford Fiesta,silver,07/2009,2009,4990,44,60,Manual,Petrol,"5,5 l/100 km",128 g/km,88095.0,Ambiente Klima 8-fach-bereift 2.Hand
165296,porsche,Porsche 911,black,04/2014,2014,102949,412,560,Automatic,Petrol,"9,9 l/100 km",231 g/km,173500.0,Turbo S Cabriolet 991 Sport-Chrono-Paket
12110,audi,Audi A3,black,03/2016,2016,20980,92,125,Manual,Petrol,"5,3 l/100 km",126 g/km,83560.0,Cabriolet 1.4 NAVI XENON SHZ PDC KLIMA
56997,fiat,Fiat 500,grey,06/2023,2023,16990,51,69,Manual,Petrol,"5,2 l/100 km",119 g/km,5.0,1.0 GSE Hybrid Dolcevita
229979,volkswagen,Volkswagen Polo,grey,02/2015,2015,8490,55,75,Manual,Petrol,"5,1 l/100 km",116 g/km,123000.0,Comfortline
138038,nissan,Nissan Qashqai,black,03/2023,2023,30950,103,140,Manual,Petrol,"5,8 l/100 km",131 g/km,20.0,1.3 DIG-T Acenta 6MT 140PS Navi Winterpaket
58882,ford,Ford Fiesta,blue,09/2008,2008,5199,60,82,Manual,Petrol,"5,7 l/100 km",- (g/km),77889.0,Fiesta 1.25 Ambiente
40162,bmw,BMW 320,blue,07/2020,2020,34930,140,190,Automatic,Diesel,"4,5 l/100 km",117 g/km,32400.0,d xDrive Touring Advantage Aut. ACC Standheiz
96689,land-rover,Land Rover Defender,blue,03/2023,2023,129800,386,525,Automatic,Petrol,"12,8 l/100 km",290 g/km,7000.0,"110 5.0 P525 V8*HEAD-UP*BLACK PACK*22"""
5508,audi,Audi TT RS,grey,10/2011,2011,35990,250,340,Automatic,Petrol,"8,5 l/100 km",197 g/km,94980.0,2.5TFSI quattro Coupe S tronic EXCLUSIVE BOSE NAVI
6292,audi,Audi A3,brown,05/2012,2012,12999,92,125,Manual,Petrol,6 l/100 km,- (g/km),117000.0,A3 Cabriolet 1.4 TFSI S line Sportpaket
133656,mitsubishi,Mitsubishi Pajero,white,05/2017,2017,36990,140,190,Automatic,Diesel,"9,3 l/100 km",0 g/km,74168.0,3.2 DI-D Edition 100
27283,bmw,BMW Z4,blue,05/2009,2009,22900,225,306,Automatic,Petrol,"9,4 l/100 km",219 g/km,122400.0,Roadster sDrive 35i Xenon Navi Leder 1.Hand
111773,mercedes-benz,Mercedes-Benz C 220,black,05/2012,2012,9990,127,173,Manual,Diesel,"4,4 l/100 km",117 g/km,198000.0,CDI DPF (BlueEFFICIENCY) Avantgarde
224143,volkswagen,Volkswagen Polo,grey,11/2012,2012,12990,66,90,Automatic,Petrol,"5,3 l/100 km",124 g/km,69000.0,V Match+1.Hand+Schiebedach+Automatik+PDC+++
44701,citroen,Citroen Berlingo,blue,09/2016,2016,11800,73,99,Unknown,Diesel,"4,3 l/100 km",113 g/km,114746.0,Selection Kombi
105581,mercedes-benz,Mercedes-Benz A 180,silver,05/2005,2005,2150,80,109,Manual,Diesel,"5,4 l/100 km",- (g/km),219650.0,CDI Classic
134291,mitsubishi,Mitsubishi,orange,11/2022,2022,64796,110,150,Manual,Diesel,,-/-,3050.0,Canter 6S15 Absetzer KlimaA Kam.
17388,audi,Audi A5,red,03/2019,2019,32600,140,190,Automatic,Diesel,"5,8 l/100 km",152 g/km,55700.0,2.0 TDI quattro Sportback *VC*LED*PANORAMA*NAVI*EL
114494,mercedes-benz,Mercedes-Benz E 250,black,09/2014,2014,23500,155,211,Automatic,Petrol,"5,6 l/100 km",- (g/km),85000.0,Coupe 7G-TRONIC
129565,mini,MINI Cooper Cabrio,red,08/2012,2012,12950,90,122,Manual,Petrol,"5,7 l/100 km",133 g/km,74400.0,"""Pepper"",Navigation,Teil-Leder uvm"
244597,volkswagen,Volkswagen T-Roc,black,11/2022,2022,29870,110,150,Automatic,Petrol,"5,4 l/100 km",123 g/km,17550.0,Style 1.5 Neues Modell SOFORT IQ Navi Kamera Winte
3513,audi,Audi A3,black,11/2007,2007,7500,75,102,Manual,Petrol,"7,1 l/100 km",- (g/km),110450.0,1.6 Ambition
65379,ford,Ford Focus,grey,01/2017,2017,15990,110,150,Automatic,Petrol,"6,1 l/100 km",140 g/km,62000.0,Turnier Titanium/Navi/
22653,audi,Audi Q3,silver,04/2023,2023,43980,110,150,Automatic,Diesel,5 l/100 km,132 g/km,9999.0,35 TDI NAVI LED VIRTUAL OPTIKPAKET
2775,audi,Audi TT,silver,05/2005,2005,8999,132,179,Manual,Petrol,"9,5 l/100 km",228 g/km,91000.0,1.8 quattro Cabrio
216177,volkswagen,Volkswagen Passat,brown,02/2005,2005,6300,110,150,Automatic,Petrol,"8,1 l/100 km",193 g/km,133000.0,2.0 FSI Trendline
179911,seat,SEAT Ateca,white,01/2017,2017,22890,110,150,Automatic,Petrol,"5,5 l/100 km",126 g/km,58000.0,Xcellence*Automatik*Alu*Navi*LED*
1560,aston-martin,Aston Martin DB11,blue,10/2017,2017,169900,447,608,Automatic,Petrol,"11,4 l/100 km",265 g/km,12000.0,V12 Launch Edition
106699,mercedes-benz,Mercedes-Benz C 220,black,07/2007,2007,7800,125,170,Automatic,Diesel,"6,6 l/100 km",- (g/km),224924.0,CDI DPF Automatik Avantgarde
194262,skoda,Skoda Rapid/Spaceback,red,11/2018,2018,12990,70,95,Manual,Petrol,"4,8 l/100 km",109 g/km,47730.0,Rapid Spaceback 1.0 TSI Cool Edition PDC/KLIMA
36669,bmw,BMW 440,black,12/2017,2017,48850,265,360,Automatic,Petrol,"6,8 l/100 km",- (g/km),2100.0,440i Gran Coupe Aut. M Sport M Perfomance.
52755,fiat,Fiat Qubo,blue,05/2009,2009,3899,54,73,Manual,Petrol,7 l/100 km,165 g/km,170000.0,Active Tüv/Au 10.2024
163843,peugeot,Peugeot 5008,white,04/2022,2022,44990,130,177,Automatic,Diesel,6 l/100 km,157 g/km,14800.0,GT-Pack BHDi180 EAT8 Leder SHZ Allwetter
228278,volkswagen,Volkswagen Golf,black,01/2014,2014,7300,77,105,Manual,Diesel,"3,9 l/100 km",102 g/km,181900.0,Vollausstattung
22317,audi,Audi SQ2,red,05/2023,2023,47388,221,300,Automatic,Petrol,"7,7 l/100 km",188 g/km,10.0,TFSI 300 S line-Int Matrix Nav+ eHK Keyl 19Z
222269,volkswagen,Volkswagen Passat Variant,blue,01/2011,2011,9300,90,122,Manual,Petrol,"6,4 l/100 km",149 g/km,120000.0,Trendline 1.4 |NAVI|GARANTIE|
230367,volkswagen,Volkswagen Golf Cabriolet,black,05/2015,2015,26900,195,265,Automatic,Petrol,"8,2 l/100 km",190 g/km,58350.0,R VI (517)
19587,audi,Audi e-tron,white,06/2020,2020,45000,230,313,Automatic,Electric,,0 g/km,53000.0,"50 quattro advanced, AUDI GW+Garantie: 05/2025"
5001,audi,Audi A6,black,05/2010,2010,15000,140,190,Automatic,Diesel,"7,1 l/100 km",- (g/km),179000.0,2.7 TDI DPF quattro tiptronic
223944,volkswagen,Volkswagen Touran,brown,07/2012,2012,13000,103,140,Manual,Diesel,"5,3 l/100 km",- (g/km),171000.0,Touran 2.0 TDI DPF MATCH
